Accuracy,Precision,Recall
0.9412915851272016,0.1875,0.06
0.9275929549902152,0.125,0.08
0.9275929549902152,0.14705882352941177,0.1
0.9334637964774951,0.125,0.06
0.9275929549902152,0.21428571428571427,0.18
0.9266144814090019,0.0967741935483871,0.06
0.9305283757338552,0.16129032258064516,0.1
0.9217221135029354,0.10526315789473684,0.08
0.9334637964774951,0.15384615384615385,0.08
0.923679060665362,0.08823529411764706,0.06
0.9227005870841487,0.08571428571428572,0.06
0.9295499021526419,0.13333333333333333,0.08
0.9246575342465754,0.15384615384615385,0.12
0.9285714285714286,0.10344827586206896,0.06
0.9285714285714286,0.12903225806451613,0.08
0.9227005870841487,0.10810810810810811,0.08
0.9246575342465754,0.13513513513513514,0.1
0.9393346379647749,0.2692307692307692,0.14
0.9285714285714286,0.15151515151515152,0.1
0.9266144814090019,0.12121212121212122,0.08
0.9275929549902152,0.07142857142857142,0.04
0.9354207436399217,0.21428571428571427,0.12
0.9324853228962818,0.12,0.06
0.9315068493150684,0.16666666666666666,0.1
0.9334637964774951,0.125,0.06
0.9393346379647749,0.07142857142857142,0.02
0.9227005870841487,0.14634146341463414,0.12
0.9315068493150684,0.20588235294117646,0.14
0.9315068493150684,0.11538461538461539,0.06
0.9246575342465754,0.034482758620689655,0.02
0.9168297455968689,0.07317073170731707,0.06
0.9295499021526419,0.17647058823529413,0.12
0.923679060665362,0.18181818181818182,0.16
0.9324853228962818,0.1935483870967742,0.12
0.9266144814090019,0.0967741935483871,0.06
0.9334637964774951,0.15384615384615385,0.08
0.9266144814090019,0.14285714285714285,0.1
0.9246575342465754,0.09090909090909091,0.06
0.923679060665362,0.0625,0.04
0.9256360078277887,0.03571428571428571,0.02
0.9275929549902152,0.125,0.08
0.9315068493150684,0.14285714285714285,0.08
0.9344422700587084,0.24242424242424243,0.16
0.9256360078277887,0.11764705882352941,0.08
0.9334637964774951,0.15384615384615385,0.08
0.9275929549902152,0.14705882352941177,0.1
0.9305283757338552,0.16129032258064516,0.1
0.9334637964774951,0.125,0.06
0.9315068493150684,0.11538461538461539,0.06
0.9324853228962818,0.1724137931034483,0.1
0.9354207436399217,0.19230769230769232,0.1
0.9285714285714286,0.15151515151515152,0.1
0.9158512720156555,0.09090909090909091,0.08
0.9168297455968689,0.1568627450980392,0.16
0.9256360078277887,0.11764705882352941,0.08
0.9207436399217221,0.13953488372093023,0.12
0.9275929549902152,0.1,0.06
0.9266144814090019,0.14285714285714285,0.1
0.9227005870841487,0.08571428571428572,0.06
0.9295499021526419,0.13333333333333333,0.08
0.9295499021526419,0.21052631578947367,0.16
0.9354207436399217,0.21428571428571427,0.12
0.9373776908023483,0.23076923076923078,0.12
0.9246575342465754,0.06451612903225806,0.04
0.9373776908023483,0.20833333333333334,0.1
0.9275929549902152,0.14705882352941177,0.1
0.923679060665362,0.1111111111111111,0.08
0.9324853228962818,0.1724137931034483,0.1
0.9266144814090019,0.1951219512195122,0.16
0.9266144814090019,0.12121212121212122,0.08
0.9373776908023483,0.23076923076923078,0.12
0.9363992172211351,0.14285714285714285,0.06
0.9197651663405088,0.1,0.08
0.9363992172211351,0.14285714285714285,0.06
0.9275929549902152,0.125,0.08
0.9295499021526419,0.15625,0.1
0.9266144814090019,0.2222222222222222,0.2
0.9266144814090019,0.0967741935483871,0.06
0.9324853228962818,0.08695652173913043,0.04
0.9324853228962818,0.1724137931034483,0.1
0.9266144814090019,0.12121212121212122,0.08
0.9324853228962818,0.1935483870967742,0.12
0.9256360078277887,0.11764705882352941,0.08
0.9344422700587084,0.16,0.08
0.9354207436399217,0.19230769230769232,0.1
0.9266144814090019,0.0967741935483871,0.06
0.9275929549902152,0.16666666666666666,0.12
0.9334637964774951,0.2631578947368421,0.2
0.9324853228962818,0.12,0.06
0.9246575342465754,0.11428571428571428,0.08
0.9334637964774951,0.21875,0.14
0.9344422700587084,0.20689655172413793,0.12
0.9256360078277887,0.06666666666666667,0.04
0.9207436399217221,0.12195121951219512,0.1
0.9217221135029354,0.058823529411764705,0.04
0.9344422700587084,0.20689655172413793,0.12
0.9246575342465754,0.18604651162790697,0.16
0.9373776908023483,0.20833333333333334,0.1
0.9344422700587084,0.09523809523809523,0.04
0.9227005870841487,0.10810810810810811,0.08
0.9168297455968689,0.07317073170731707,0.06
0.9334637964774951,0.125,0.06
0.9285714285714286,0.10344827586206896,0.06
0.9207436399217221,0.05714285714285714,0.04
0.9256360078277887,0.1388888888888889,0.1
0.9363992172211351,0.14285714285714285,0.06
0.9227005870841487,0.10810810810810811,0.08
0.9363992172211351,0.2,0.1
0.9266144814090019,0.14285714285714285,0.1
0.9295499021526419,0.13333333333333333,0.08
0.9275929549902152,0.125,0.08
0.9334637964774951,0.21875,0.14
0.9305283757338552,0.21621621621621623,0.16
0.9344422700587084,0.18518518518518517,0.1
0.9305283757338552,0.18181818181818182,0.12
0.9344422700587084,0.24242424242424243,0.16
0.923679060665362,0.13157894736842105,0.1
0.9178082191780822,0.05263157894736842,0.04
0.9324853228962818,0.047619047619047616,0.02
0.9246575342465754,0.17073170731707318,0.14
0.9315068493150684,0.1875,0.12
0.9285714285714286,0.07407407407407407,0.04
0.9256360078277887,0.15789473684210525,0.12
0.9275929549902152,0.125,0.08
0.9305283757338552,0.16129032258064516,0.1
0.9354207436399217,0.19230769230769232,0.1
0.9207436399217221,0.13953488372093023,0.12
0.9324853228962818,0.1724137931034483,0.1
0.9315068493150684,0.16666666666666666,0.1
0.9373776908023483,0.25,0.14
0.9393346379647749,0.25,0.12
0.9403131115459883,0.07692307692307693,0.02
0.9305283757338552,0.16129032258064516,0.1
0.9315068493150684,0.20588235294117646,0.14
0.9324853228962818,0.08695652173913043,0.04
0.9334637964774951,0.17857142857142858,0.1
0.9295499021526419,0.19444444444444445,0.14
0.9266144814090019,0.0967741935483871,0.06
0.9393346379647749,0.25,0.12
0.9324853228962818,0.12,0.06
0.923679060665362,0.13157894736842105,0.1
0.9256360078277887,0.09375,0.06
0.9227005870841487,0.14634146341463414,0.12
0.9285714285714286,0.10344827586206896,0.06
0.9354207436399217,0.19230769230769232,0.1
0.9275929549902152,0.14705882352941177,0.1
0.9315068493150684,0.11538461538461539,0.06
0.9354207436399217,0.13636363636363635,0.06
0.9305283757338552,0.1111111111111111,0.06
