Accuracy,Precision,Recall
0.5,0.18181818181818182,0.4
0.375,0.14285714285714285,0.4
0.6666666666666666,0.2857142857142857,0.4
0.5416666666666666,0.125,0.2
0.6666666666666666,0.3333333333333333,0.6
0.75,0.42857142857142855,0.6
0.625,0.25,0.4
0.5833333333333334,0.2727272727272727,0.6
0.5833333333333334,0.3076923076923077,0.8
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.25,0.6
0.75,0.4,0.4
0.5416666666666666,0.125,0.2
0.4583333333333333,0.21428571428571427,0.6
0.5416666666666666,0.3125,1.0
0.5416666666666666,0.2,0.4
0.5833333333333334,0.0,0.0
0.5,0.1111111111111111,0.2
0.5833333333333334,0.2222222222222222,0.4
0.625,0.3,0.6
0.8333333333333334,0.6,0.6
0.5833333333333334,0.14285714285714285,0.2
0.5416666666666666,0.0,0.0
0.4583333333333333,0.1,0.2
0.5,0.0,0.0
0.5416666666666666,0.25,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.2,0.4
0.625,0.25,0.4
0.4583333333333333,0.1,0.2
0.5833333333333334,0.2727272727272727,0.6
0.5,0.1111111111111111,0.2
0.5,0.1111111111111111,0.2
0.6666666666666666,0.2,0.2
0.4583333333333333,0.1,0.2
0.5833333333333334,0.2727272727272727,0.6
0.7083333333333334,0.3333333333333333,0.4
0.6666666666666666,0.3333333333333333,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5,0.23076923076923078,0.6
0.4583333333333333,0.1,0.2
0.625,0.35714285714285715,1.0
0.4583333333333333,0.21428571428571427,0.6
0.5416666666666666,0.2857142857142857,0.8
0.4166666666666667,0.0,0.0
0.6666666666666666,0.2,0.2
0.4583333333333333,0.1,0.2
0.7916666666666666,0.5,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.25,0.6
0.5833333333333334,0.2222222222222222,0.4
0.4166666666666667,0.15384615384615385,0.4
0.6666666666666666,0.2857142857142857,0.4
0.625,0.3,0.6
0.5416666666666666,0.125,0.2
0.5833333333333334,0.14285714285714285,0.2
0.5,0.18181818181818182,0.4
0.5416666666666666,0.2857142857142857,0.8
0.5416666666666666,0.125,0.2
0.5833333333333334,0.3076923076923077,0.8
0.5,0.18181818181818182,0.4
0.4166666666666667,0.0,0.0
0.5416666666666666,0.2,0.4
0.6666666666666666,0.2,0.2
0.5833333333333334,0.14285714285714285,0.2
0.5,0.23076923076923078,0.6
0.5,0.18181818181818182,0.4
0.75,0.42857142857142855,0.6
0.5416666666666666,0.2,0.4
0.375,0.0,0.0
0.7083333333333334,0.4,0.8
0.5,0.18181818181818182,0.4
0.5,0.18181818181818182,0.4
0.5,0.18181818181818182,0.4
0.5833333333333334,0.14285714285714285,0.2
0.7916666666666666,0.5,0.8
0.5416666666666666,0.2857142857142857,0.8
0.625,0.3,0.6
0.4583333333333333,0.21428571428571427,0.6
0.5416666666666666,0.125,0.2
0.5,0.18181818181818182,0.4
0.5833333333333334,0.14285714285714285,0.2
0.7916666666666666,0.5,0.6
0.5,0.1111111111111111,0.2
0.5,0.26666666666666666,0.8
0.625,0.16666666666666666,0.2
0.5,0.1111111111111111,0.2
0.5416666666666666,0.25,0.6
0.625,0.25,0.4
0.5416666666666666,0.25,0.6
0.5416666666666666,0.2,0.4
0.5833333333333334,0.2727272727272727,0.6
0.5,0.1111111111111111,0.2
0.7083333333333334,0.3333333333333333,0.4
0.4166666666666667,0.0,0.0
0.625,0.3333333333333333,0.8
0.625,0.3,0.6
0.5,0.18181818181818182,0.4
0.5833333333333334,0.2727272727272727,0.6
0.4583333333333333,0.25,0.8
0.4583333333333333,0.16666666666666666,0.4
0.7083333333333334,0.25,0.2
0.4166666666666667,0.0,0.0
0.4583333333333333,0.25,0.8
0.625,0.25,0.4
0.5416666666666666,0.2,0.4
0.625,0.25,0.4
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.3333333333333333,0.6
0.7083333333333334,0.3333333333333333,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5833333333333334,0.14285714285714285,0.2
0.5833333333333334,0.3076923076923077,0.8
0.4583333333333333,0.21428571428571427,0.6
0.4166666666666667,0.15384615384615385,0.4
0.6666666666666666,0.2,0.2
0.5,0.1111111111111111,0.2
0.625,0.3,0.6
0.4583333333333333,0.21428571428571427,0.6
0.5,0.1111111111111111,0.2
0.5,0.23076923076923078,0.6
0.5416666666666666,0.2,0.4
0.5833333333333334,0.3076923076923077,0.8
0.5416666666666666,0.125,0.2
0.7083333333333334,0.375,0.6
0.5833333333333334,0.2727272727272727,0.6
0.7083333333333334,0.25,0.2
0.5833333333333334,0.2727272727272727,0.6
0.625,0.25,0.4
0.5,0.23076923076923078,0.6
0.5,0.18181818181818182,0.4
0.5833333333333334,0.14285714285714285,0.2
0.7083333333333334,0.25,0.2
0.625,0.16666666666666666,0.2
0.4166666666666667,0.15384615384615385,0.4
0.4583333333333333,0.16666666666666666,0.4
0.5833333333333334,0.3076923076923077,0.8
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2,0.4
0.5,0.18181818181818182,0.4
0.625,0.16666666666666666,0.2
0.5416666666666666,0.125,0.2
0.5,0.1111111111111111,0.2
0.5416666666666666,0.25,0.6
0.625,0.3,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5,0.23076923076923078,0.6
0.6666666666666666,0.3333333333333333,0.6
0.625,0.25,0.4
0.6666666666666666,0.3333333333333333,0.6
0.625,0.16666666666666666,0.2
0.4583333333333333,0.1,0.2
0.5833333333333334,0.14285714285714285,0.2
0.5833333333333334,0.2727272727272727,0.6
0.625,0.3,0.6
0.7916666666666666,0.5,0.8
0.5,0.1111111111111111,0.2
0.4583333333333333,0.16666666666666666,0.4
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.4583333333333333,0.25,0.8
0.5833333333333334,0.2727272727272727,0.6
0.375,0.14285714285714285,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5,0.18181818181818182,0.4
0.5416666666666666,0.2,0.4
0.5416666666666666,0.2857142857142857,0.8
0.625,0.25,0.4
0.4583333333333333,0.0,0.0
0.5416666666666666,0.25,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.2,0.4
0.5,0.1111111111111111,0.2
0.4583333333333333,0.21428571428571427,0.6
0.4583333333333333,0.1,0.2
0.5416666666666666,0.2,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5416666666666666,0.0,0.0
0.7083333333333334,0.4,0.8
0.5416666666666666,0.125,0.2
0.6666666666666666,0.2,0.2
0.625,0.3,0.6
0.5,0.18181818181818182,0.4
0.5416666666666666,0.2,0.4
0.7083333333333334,0.4,0.8
0.4583333333333333,0.0,0.0
0.5833333333333334,0.2727272727272727,0.6
0.6666666666666666,0.3333333333333333,0.6
0.6666666666666666,0.2857142857142857,0.4
0.5416666666666666,0.125,0.2
0.6666666666666666,0.2857142857142857,0.4
0.4166666666666667,0.09090909090909091,0.2
0.6666666666666666,0.2,0.2
0.5416666666666666,0.25,0.6
0.5833333333333334,0.14285714285714285,0.2
0.5416666666666666,0.125,0.2
0.5833333333333334,0.2222222222222222,0.4
0.4583333333333333,0.1,0.2
0.5,0.18181818181818182,0.4
0.5,0.23076923076923078,0.6
0.625,0.3333333333333333,0.8
0.4583333333333333,0.21428571428571427,0.6
0.4583333333333333,0.21428571428571427,0.6
0.5,0.18181818181818182,0.4
0.5416666666666666,0.25,0.6
0.5,0.1111111111111111,0.2
0.625,0.25,0.4
0.5,0.1111111111111111,0.2
0.5833333333333334,0.3076923076923077,0.8
0.6666666666666666,0.2857142857142857,0.4
0.5416666666666666,0.0,0.0
0.3333333333333333,0.13333333333333333,0.4
0.4166666666666667,0.0,0.0
0.4583333333333333,0.1,0.2
0.5416666666666666,0.0,0.0
0.5833333333333334,0.14285714285714285,0.2
0.5,0.0,0.0
0.625,0.25,0.4
0.5833333333333334,0.3076923076923077,0.8
0.5833333333333334,0.14285714285714285,0.2
0.4166666666666667,0.09090909090909091,0.2
0.7083333333333334,0.3333333333333333,0.4
0.5416666666666666,0.2,0.4
0.5833333333333334,0.2222222222222222,0.4
0.375,0.2222222222222222,0.8
0.625,0.16666666666666666,0.2
0.7083333333333334,0.4,0.8
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.2222222222222222,0.4
0.625,0.3,0.6
0.5416666666666666,0.25,0.6
0.5,0.0,0.0
0.7083333333333334,0.375,0.6
0.6666666666666666,0.36363636363636365,0.8
0.5833333333333334,0.14285714285714285,0.2
0.4583333333333333,0.16666666666666666,0.4
0.625,0.3,0.6
0.5,0.26666666666666666,0.8
0.5,0.18181818181818182,0.4
0.5416666666666666,0.25,0.6
0.5416666666666666,0.2,0.4
0.5416666666666666,0.0,0.0
0.625,0.25,0.4
0.4166666666666667,0.09090909090909091,0.2
0.6666666666666666,0.2857142857142857,0.4
0.625,0.16666666666666666,0.2
0.6666666666666666,0.2,0.2
0.5416666666666666,0.2857142857142857,0.8
0.625,0.25,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.14285714285714285,0.2
0.4166666666666667,0.2,0.6
0.625,0.3333333333333333,0.8
0.4166666666666667,0.09090909090909091,0.2
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.2222222222222222,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5833333333333334,0.2222222222222222,0.4
0.4166666666666667,0.15384615384615385,0.4
0.4583333333333333,0.1,0.2
0.5,0.23076923076923078,0.6
0.75,0.4444444444444444,0.8
0.5416666666666666,0.2857142857142857,0.8
0.6666666666666666,0.2,0.2
0.5416666666666666,0.125,0.2
0.6666666666666666,0.3333333333333333,0.6
0.2916666666666667,0.07142857142857142,0.2
0.375,0.08333333333333333,0.2
0.5,0.18181818181818182,0.4
0.625,0.16666666666666666,0.2
0.4583333333333333,0.21428571428571427,0.6
0.625,0.25,0.4
0.4583333333333333,0.21428571428571427,0.6
0.4583333333333333,0.21428571428571427,0.6
0.5833333333333334,0.14285714285714285,0.2
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.25,0.6
0.4583333333333333,0.16666666666666666,0.4
0.6666666666666666,0.2857142857142857,0.4
0.4166666666666667,0.15384615384615385,0.4
0.625,0.3,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2,0.4
0.4583333333333333,0.21428571428571427,0.6
0.5833333333333334,0.2727272727272727,0.6
0.5,0.0,0.0
0.5833333333333334,0.2727272727272727,0.6
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.5416666666666666,0.2857142857142857,0.8
0.6666666666666666,0.2857142857142857,0.4
0.625,0.3,0.6
0.375,0.08333333333333333,0.2
0.5416666666666666,0.2,0.4
0.4583333333333333,0.1,0.2
0.4583333333333333,0.16666666666666666,0.4
0.375,0.08333333333333333,0.2
0.625,0.3,0.6
0.625,0.3333333333333333,0.8
0.6666666666666666,0.2857142857142857,0.4
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.5833333333333334,0.2222222222222222,0.4
0.625,0.16666666666666666,0.2
0.5833333333333334,0.0,0.0
0.5416666666666666,0.2,0.4
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2,0.4
0.75,0.4444444444444444,0.8
0.5,0.1111111111111111,0.2
0.75,0.3333333333333333,0.2
0.5833333333333334,0.3333333333333333,1.0
0.5,0.23076923076923078,0.6
0.375,0.0,0.0
0.5416666666666666,0.125,0.2
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.3076923076923077,0.8
0.5,0.1111111111111111,0.2
0.625,0.3333333333333333,0.8
0.6666666666666666,0.0,0.0
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2222222222222222,0.4
0.4166666666666667,0.23529411764705882,0.8
0.625,0.3,0.6
0.5833333333333334,0.2727272727272727,0.6
0.625,0.25,0.4
0.4583333333333333,0.0,0.0
0.5416666666666666,0.2,0.4
0.4583333333333333,0.16666666666666666,0.4
0.7083333333333334,0.375,0.6
0.6666666666666666,0.2857142857142857,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.2727272727272727,0.6
0.7083333333333334,0.25,0.2
0.625,0.3,0.6
0.5,0.18181818181818182,0.4
0.5833333333333334,0.14285714285714285,0.2
0.625,0.25,0.4
0.6666666666666666,0.2857142857142857,0.4
0.5833333333333334,0.3076923076923077,0.8
0.5416666666666666,0.25,0.6
0.5,0.23076923076923078,0.6
0.5416666666666666,0.2,0.4
0.5416666666666666,0.2,0.4
0.6666666666666666,0.3333333333333333,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5,0.23076923076923078,0.6
0.5416666666666666,0.2,0.4
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.625,0.25,0.4
0.625,0.25,0.4
0.7083333333333334,0.0,0.0
0.5416666666666666,0.2,0.4
0.5,0.23076923076923078,0.6
0.4166666666666667,0.09090909090909091,0.2
0.625,0.16666666666666666,0.2
0.5833333333333334,0.3076923076923077,0.8
0.5,0.18181818181818182,0.4
0.5,0.18181818181818182,0.4
0.5,0.0,0.0
0.5833333333333334,0.14285714285714285,0.2
0.5416666666666666,0.25,0.6
0.5833333333333334,0.0,0.0
0.5416666666666666,0.25,0.6
0.4166666666666667,0.2,0.6
0.4583333333333333,0.21428571428571427,0.6
0.5833333333333334,0.2727272727272727,0.6
0.4583333333333333,0.16666666666666666,0.4
0.3333333333333333,0.13333333333333333,0.4
0.7083333333333334,0.4,0.8
0.5833333333333334,0.14285714285714285,0.2
0.5833333333333334,0.3076923076923077,0.8
0.5,0.1111111111111111,0.2
0.4166666666666667,0.15384615384615385,0.4
0.5416666666666666,0.2,0.4
0.625,0.0,0.0
0.7083333333333334,0.4166666666666667,1.0
0.4166666666666667,0.15384615384615385,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.14285714285714285,0.2
0.5416666666666666,0.125,0.2
0.4583333333333333,0.25,0.8
0.5833333333333334,0.2727272727272727,0.6
0.625,0.0,0.0
0.5833333333333334,0.14285714285714285,0.2
0.5,0.18181818181818182,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.2,0.4
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.0,0.0
0.5416666666666666,0.25,0.6
0.4583333333333333,0.16666666666666666,0.4
0.625,0.16666666666666666,0.2
0.6666666666666666,0.2857142857142857,0.4
0.6666666666666666,0.2,0.2
0.4583333333333333,0.21428571428571427,0.6
0.5,0.18181818181818182,0.4
0.625,0.16666666666666666,0.2
0.625,0.25,0.4
0.5416666666666666,0.2,0.4
0.5833333333333334,0.2727272727272727,0.6
0.625,0.3,0.6
0.625,0.0,0.0
0.5416666666666666,0.25,0.6
0.375,0.1875,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.2,0.4
0.4583333333333333,0.0,0.0
0.5833333333333334,0.2727272727272727,0.6
0.625,0.25,0.4
0.625,0.25,0.4
0.5,0.23076923076923078,0.6
0.375,0.14285714285714285,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.3076923076923077,0.8
0.4583333333333333,0.1,0.2
0.625,0.3,0.6
0.6666666666666666,0.2,0.2
0.75,0.4444444444444444,0.8
0.4583333333333333,0.16666666666666666,0.4
0.5416666666666666,0.2,0.4
0.5833333333333334,0.3076923076923077,0.8
0.6666666666666666,0.0,0.0
0.5,0.29411764705882354,1.0
0.5833333333333334,0.2222222222222222,0.4
0.5416666666666666,0.0,0.0
0.5416666666666666,0.125,0.2
0.6666666666666666,0.3333333333333333,0.6
0.7083333333333334,0.0,0.0
0.5833333333333334,0.14285714285714285,0.2
0.5833333333333334,0.0,0.0
0.7083333333333334,0.375,0.6
0.5,0.26666666666666666,0.8
0.5416666666666666,0.2,0.4
0.4583333333333333,0.21428571428571427,0.6
0.5416666666666666,0.2,0.4
0.75,0.42857142857142855,0.6
0.5416666666666666,0.2,0.4
0.5416666666666666,0.125,0.2
0.5,0.23076923076923078,0.6
0.5833333333333334,0.14285714285714285,0.2
0.625,0.25,0.4
0.4583333333333333,0.21428571428571427,0.6
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.5,0.23076923076923078,0.6
0.5416666666666666,0.125,0.2
0.5833333333333334,0.2222222222222222,0.4
0.625,0.3,0.6
0.625,0.3,0.6
0.75,0.3333333333333333,0.2
0.625,0.3,0.6
0.7083333333333334,0.375,0.6
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2,0.4
0.5416666666666666,0.2,0.4
0.5416666666666666,0.2,0.4
0.5,0.1111111111111111,0.2
0.4166666666666667,0.2,0.6
0.625,0.3,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.14285714285714285,0.2
0.7083333333333334,0.375,0.6
0.5416666666666666,0.125,0.2
0.5,0.18181818181818182,0.4
0.4166666666666667,0.15384615384615385,0.4
0.6666666666666666,0.3333333333333333,0.6
0.4583333333333333,0.21428571428571427,0.6
0.4166666666666667,0.09090909090909091,0.2
0.5416666666666666,0.2857142857142857,0.8
0.5416666666666666,0.25,0.6
0.625,0.3333333333333333,0.8
0.5833333333333334,0.2727272727272727,0.6
0.75,0.45454545454545453,1.0
0.5,0.18181818181818182,0.4
0.7083333333333334,0.3333333333333333,0.4
0.5416666666666666,0.2,0.4
0.4583333333333333,0.16666666666666666,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5833333333333334,0.3333333333333333,1.0
0.5416666666666666,0.2,0.4
0.7083333333333334,0.25,0.2
0.5,0.1111111111111111,0.2
0.4583333333333333,0.16666666666666666,0.4
0.3333333333333333,0.07692307692307693,0.2
0.5416666666666666,0.2857142857142857,0.8
0.4166666666666667,0.09090909090909091,0.2
0.5,0.23076923076923078,0.6
0.4166666666666667,0.09090909090909091,0.2
0.5,0.23076923076923078,0.6
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.2857142857142857,0.4
0.4166666666666667,0.0,0.0
0.5833333333333334,0.2727272727272727,0.6
0.4583333333333333,0.16666666666666666,0.4
0.5833333333333334,0.2222222222222222,0.4
0.5,0.1111111111111111,0.2
0.5416666666666666,0.125,0.2
0.5833333333333334,0.2222222222222222,0.4
0.4166666666666667,0.15384615384615385,0.4
0.5416666666666666,0.2,0.4
0.75,0.4444444444444444,0.8
0.5416666666666666,0.25,0.6
0.625,0.0,0.0
0.5,0.0,0.0
0.5,0.1111111111111111,0.2
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.38461538461538464,1.0
0.5833333333333334,0.2222222222222222,0.4
0.5,0.1111111111111111,0.2
0.5416666666666666,0.25,0.6
0.5,0.0,0.0
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.25,0.6
0.625,0.0,0.0
0.5,0.23076923076923078,0.6
0.6666666666666666,0.3333333333333333,0.6
0.7083333333333334,0.4166666666666667,1.0
0.6666666666666666,0.3333333333333333,0.6
0.7083333333333334,0.375,0.6
0.4583333333333333,0.16666666666666666,0.4
0.5416666666666666,0.25,0.6
0.5833333333333334,0.14285714285714285,0.2
0.5416666666666666,0.2,0.4
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.2,0.4
0.5833333333333334,0.2727272727272727,0.6
0.7083333333333334,0.4,0.8
0.4583333333333333,0.25,0.8
0.4166666666666667,0.0,0.0
0.5,0.18181818181818182,0.4
0.4583333333333333,0.21428571428571427,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5833333333333334,0.2222222222222222,0.4
0.75,0.4,0.4
0.5833333333333334,0.2727272727272727,0.6
0.5,0.23076923076923078,0.6
0.625,0.3,0.6
0.5416666666666666,0.2857142857142857,0.8
0.375,0.08333333333333333,0.2
0.4166666666666667,0.15384615384615385,0.4
0.5416666666666666,0.25,0.6
0.5416666666666666,0.0,0.0
0.6666666666666666,0.36363636363636365,0.8
0.5833333333333334,0.14285714285714285,0.2
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.2857142857142857,0.4
0.4583333333333333,0.16666666666666666,0.4
0.5833333333333334,0.14285714285714285,0.2
0.6666666666666666,0.2,0.2
0.4583333333333333,0.21428571428571427,0.6
0.6666666666666666,0.2857142857142857,0.4
0.5,0.23076923076923078,0.6
0.5,0.18181818181818182,0.4
0.4583333333333333,0.0,0.0
0.625,0.16666666666666666,0.2
0.5416666666666666,0.25,0.6
0.75,0.42857142857142855,0.6
0.7083333333333334,0.375,0.6
0.5,0.1111111111111111,0.2
0.7083333333333334,0.375,0.6
0.5416666666666666,0.25,0.6
0.625,0.25,0.4
0.4166666666666667,0.15384615384615385,0.4
0.7083333333333334,0.4166666666666667,1.0
0.5833333333333334,0.2727272727272727,0.6
0.5833333333333334,0.14285714285714285,0.2
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2857142857142857,0.8
0.5,0.1111111111111111,0.2
0.4583333333333333,0.16666666666666666,0.4
0.625,0.16666666666666666,0.2
0.5833333333333334,0.2727272727272727,0.6
0.7083333333333334,0.375,0.6
0.5833333333333334,0.0,0.0
0.5833333333333334,0.14285714285714285,0.2
0.5,0.1111111111111111,0.2
0.5833333333333334,0.2222222222222222,0.4
0.4583333333333333,0.21428571428571427,0.6
0.5833333333333334,0.2727272727272727,0.6
0.5833333333333334,0.14285714285714285,0.2
0.5,0.1111111111111111,0.2
0.5416666666666666,0.2,0.4
0.6666666666666666,0.3333333333333333,0.6
0.75,0.4444444444444444,0.8
0.2916666666666667,0.07142857142857142,0.2
0.5833333333333334,0.2222222222222222,0.4
0.6666666666666666,0.3333333333333333,0.6
0.625,0.3,0.6
0.5,0.23076923076923078,0.6
0.5,0.18181818181818182,0.4
0.5416666666666666,0.25,0.6
0.3333333333333333,0.07692307692307693,0.2
0.625,0.3,0.6
0.625,0.16666666666666666,0.2
0.4583333333333333,0.21428571428571427,0.6
0.5833333333333334,0.2222222222222222,0.4
0.5,0.18181818181818182,0.4
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.125,0.2
0.5416666666666666,0.25,0.6
0.5416666666666666,0.125,0.2
0.5416666666666666,0.2,0.4
0.625,0.3333333333333333,0.8
0.5416666666666666,0.0,0.0
0.5416666666666666,0.2,0.4
0.5,0.18181818181818182,0.4
0.7083333333333334,0.375,0.6
0.5416666666666666,0.125,0.2
0.5,0.23076923076923078,0.6
0.6666666666666666,0.2857142857142857,0.4
0.5416666666666666,0.2,0.4
0.5,0.1111111111111111,0.2
0.6666666666666666,0.3333333333333333,0.6
0.6666666666666666,0.2857142857142857,0.4
0.6666666666666666,0.2,0.2
0.5,0.1111111111111111,0.2
0.5416666666666666,0.25,0.6
0.625,0.25,0.4
0.5833333333333334,0.2727272727272727,0.6
0.5416666666666666,0.25,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5833333333333334,0.2727272727272727,0.6
0.5,0.0,0.0
0.6666666666666666,0.2,0.2
0.625,0.3,0.6
0.625,0.3,0.6
0.5,0.1111111111111111,0.2
0.625,0.25,0.4
0.375,0.14285714285714285,0.4
0.2916666666666667,0.125,0.4
0.75,0.4444444444444444,0.8
0.5,0.18181818181818182,0.4
0.625,0.3,0.6
0.375,0.1875,0.6
0.5416666666666666,0.125,0.2
0.625,0.3,0.6
0.6666666666666666,0.3333333333333333,0.6
0.5416666666666666,0.25,0.6
0.2916666666666667,0.07142857142857142,0.2
0.4583333333333333,0.21428571428571427,0.6
0.6666666666666666,0.36363636363636365,0.8
0.5416666666666666,0.25,0.6
0.6666666666666666,0.36363636363636365,0.8
0.5416666666666666,0.2,0.4
0.625,0.25,0.4
0.5416666666666666,0.25,0.6
0.5833333333333334,0.2222222222222222,0.4
0.625,0.25,0.4
0.4583333333333333,0.16666666666666666,0.4
0.5,0.1111111111111111,0.2
0.6666666666666666,0.0,0.0
0.625,0.3,0.6
0.5,0.23076923076923078,0.6
0.5833333333333334,0.2727272727272727,0.6
0.3333333333333333,0.07692307692307693,0.2
0.5833333333333334,0.2222222222222222,0.4
0.5833333333333334,0.2727272727272727,0.6
0.5416666666666666,0.2857142857142857,0.8
0.5833333333333334,0.2222222222222222,0.4
0.5,0.23076923076923078,0.6
0.5833333333333334,0.3076923076923077,0.8
0.2916666666666667,0.125,0.4
0.5416666666666666,0.2,0.4
0.5,0.23076923076923078,0.6
0.7083333333333334,0.3333333333333333,0.4
0.5,0.0,0.0
0.6666666666666666,0.2,0.2
0.5,0.18181818181818182,0.4
0.2916666666666667,0.07142857142857142,0.2
0.4583333333333333,0.25,0.8
0.7083333333333334,0.4,0.8
0.625,0.25,0.4
0.6666666666666666,0.38461538461538464,1.0
0.625,0.16666666666666666,0.2
0.5416666666666666,0.125,0.2
0.5,0.1111111111111111,0.2
0.4166666666666667,0.09090909090909091,0.2
0.5416666666666666,0.2,0.4
0.625,0.3,0.6
0.6666666666666666,0.2857142857142857,0.4
0.625,0.3,0.6
0.7083333333333334,0.375,0.6
0.5416666666666666,0.2,0.4
0.5,0.1111111111111111,0.2
0.625,0.3333333333333333,0.8
0.5416666666666666,0.2,0.4
0.5416666666666666,0.125,0.2
0.5833333333333334,0.2727272727272727,0.6
0.5833333333333334,0.2222222222222222,0.4
0.625,0.3,0.6
